REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,AGE,Current age,RESIDENCE,Residence,EDUCATION_LEVEL,Education Level,SERIES_FOOTNOTE,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,SOWC flag A,OBS_FOOTNOTE,OBS_STATUS,Observation Status,DATA_SOURCE,OBS_CONF,Observation confidentaility,TIME_PERIOD_METHOD,Time period activity related to when the data are collected,FREQ_COLL,Time interval at which the source data are collected
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,9.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,11,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,10.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,13.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,12.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,8.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AFG,Afghanistan,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,34.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,0.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,6.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,14.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,11.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,6.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,7.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AGO,Angola,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,1.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,12.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,9.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,11.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,11.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,11.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,9.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ALB,Albania,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,12.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,2.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,5.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,1.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,1.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,0.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,6.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARE,United Arab Emirates,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,6.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,9.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,9.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,10.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,8.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,10.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,7.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARG,Argentina,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,11.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,17.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,11.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,22.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,20.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,18.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,26.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
ARM,Armenia,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,11,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,4.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,4.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,5.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,5.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,5.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,5.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
